C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2026/07/30,02:00:00,0000000529939465,,0000000529939464
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",26,1107
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",27,1033
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",28,990
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",29,1021
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",30,1053
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",31,1090
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",32,1141
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",33,1302
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",34,1471
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",35,1666
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",36,1872
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",37,2065
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",38,2132
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",39,2144
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",40,2129
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",41,2106
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",42,2061
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",43,2006
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",44,1928
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",45,1802
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",46,1705
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",47,1607
D,DEMAND,HISTORIC,1,SA1,"2026/07/29 00:00:00",48,1567
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",1,961
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",2,950
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",3,973
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",4,970
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",5,972
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",6,962
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",7,976
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",8,990
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",9,999
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",10,985
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",11,1007
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",12,1041
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",13,1134
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",14,1215
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",15,1282
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",16,1343
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",17,1315
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",18,1250
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",19,1213
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",20,1191
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",21,1147
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",22,1092
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",23,1059
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",24,1038
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",25,1007
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",26,994
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",27,993
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",28,995
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",29,1007
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",30,1041
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",31,1040
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",32,1100
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",33,1137
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",34,1191
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",35,1253
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",36,1313
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",37,1323
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",38,1324
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",39,1309
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",40,1292
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",41,1283
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",42,1257
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",43,1221
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",44,1177
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",45,1130
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",46,1097
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",47,1064
D,DEMAND,HISTORIC,1,TAS1,"2026/07/29 00:00:00",48,1020
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",1,5750
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",2,5552
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",3,5393
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",4,5233
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",5,5106
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",6,5031
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",7,4971
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",8,4938
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",9,4931
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",10,5023
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",11,5240
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",12,5517
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",13,6076
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",14,6676
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",15,7333
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",16,7762
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",17,7834
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",18,7581
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",19,7425
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",20,7108
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",21,6902
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",22,6695
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",23,6706
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",24,6699
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",25,6557
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",26,6386
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",27,6406
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",28,6317
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",29,6105
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",30,6079
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",31,6142
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",32,6460
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",33,6962
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",34,7490
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",35,7960
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",36,8451
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",37,8630
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",38,8631
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",39,8560
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",40,8446
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",41,8224
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",42,8026
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",43,7783
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",44,7452
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",45,7042
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",46,6707
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",47,6604
D,DEMAND,HISTORIC,1,VIC1,"2026/07/29 00:00:00",48,6441
C,"END OF REPORT",243
